Province;Crime Category;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022;2022/2023;2023/2024
Republic of South Africa;Rape;43195;41503;39828;40035;41583;42289;36330;41739;42780;42569
Republic of South Africa;Sexual assault;6087;6212;6271;6786;7437;7749;7025;7798;7483;7418
Republic of South Africa;Attempted sexual offences;2641;2573;2073;2066;2146;2076;1800;2027;2376;2558
Republic of South Africa;Contact sexual offences;1694;1607;1488;1221;1254;1179;1059;1130;859;740
Eastern Cape;Rape;7934;7437;6836;6821;7305;7282;6114;6969;6829;6787
Eastern Cape;Sexual assault;636;747;753;805;890;896;891;956;913;804
Eastern Cape;Attempted sexual offences;440;430;301;318;388;396;320;361;419;431
Eastern Cape;Contact sexual offences;214;183;160;150;148;134;120;118;108;77
Free State;Rape;3290;3059;2702;2573;2646;2936;2258;2595;2671;2841
Free State;Sexual assault;441;484;474;435;517;540;489;567;488;497
Free State;Attempted sexual offences;208;232;154;153;173;163;140;157;163;221
Free State;Contact sexual offences;155;153;158;123;121;107;84;97;93;66
Gauteng;Rape;7916;7605;7700;8062;8417;8509;7525;8675;8708;8648
Gauteng;Sexual assault;1228;1214;1277;1511;1733;1775;1750;2010;1863;1698
Gauteng;Attempted sexual offences;431;353;286;314;332;249;229;255;273;321
Gauteng;Contact sexual offences;327;338;303;229;270;277;245;238;153;154
KwaZulu-Natal;Rape;7427;7307;7032;7243;7667;8017;6685;7966;8433;8152
KwaZulu-Natal;Sexual assault;1138;1157;1039;1148;1266;1367;1172;1294;1140;1303
KwaZulu-Natal;Attempted sexual offences;274;271;226;204;235;251;180;236;394;424
KwaZulu-Natal;Contact sexual offences;240;212;187;164;140;174;164;121;139;86
Limpopo;Rape;3725;3728;3317;3300;3501;3436;3126;3625;4021;4085
Limpopo;Sexual assault;245;244;240;303;292;316;358;431;391;444
Limpopo;Attempted sexual offences;262;258;195;193;196;190;177;211;229;226
Limpopo;Contact sexual offences;80;135;71;63;71;48;59;42;48;53
Mpumalanga;Rape;3000;2847;2712;2713;2903;2971;2611;3016;2772;2758
Mpumalanga;Sexual assault;221;245;264;282;384;371;362;364;374;376
Mpumalanga;Attempted sexual offences;174;161;146;121;117;105;99;100;103;117
Mpumalanga;Contact sexual offences;79;82;99;85;66;66;62;73;45;32
North West;Rape;3771;3433;3615;3479;3374;3136;2661;3098;3218;3343
North West;Sexual assault;310;305;319;347;343;345;356;337;387;412
North West;Attempted sexual offences;315;284;246;261;214;262;192;217;245;232
North West;Contact sexual offences;189;142;146;95;90;81;53;85;49;45
Northern Cape;Rape;1181;1287;1143;1100;1121;1125;908;952;1099;1130
Northern Cape;Sexual assault;228;240;235;245;255;229;207;212;253;259
Northern Cape;Attempted sexual offences;128;147;154;130;150;186;142;101;144;157
Northern Cape;Contact sexual offences;41;45;55;63;52;50;38;52;39;24
Western Cape;Rape;4951;4800;4771;4744;4649;4877;4442;4843;5029;4825
Western Cape;Sexual assault;1640;1576;1670;1710;1757;1910;1440;1627;1674;1625
Western Cape;Attempted sexual offences;409;437;365;372;341;274;321;389;406;429
Western Cape;Contact sexual offences;369;317;309;249;296;242;234;304;185;203
