"Characteristic","Intimate partner femicide",,,,"Non-intimate partner femicide",,,
"1999N = 1610% (95%CI)","2009N = 1294% (95%CI)","2017N = 1089% (95%CI)","2020−21N = 1253% (95%CI)","1999N = 1686% (95%CI)","2009N = 971% (95%CI)","2017N = 890% (95%CI)","2020−21N = 924% (95%CI)"
"Rape femicides","13.6 (8.7,18.4)","14.6 (11.6,17.7)","4.9 (3.3,6.5)","16.3 (13.5,19.1)","17.0 (9.4,24.6)","28.7 (23.2,34.2)","12.1 (8.8,15.4)","16.3 (13.3,19.3)"
"Perpetrator convicted","29.4 (20.7,38.2)","29.7 (23.7,35.7)","35.7 (32.6,38.7)","19.4 (17.2,21.7)","25.9 (19.6,32.3)","18.3 (14.2,22.4)","33.5 (30.2,36.8)","13.2 (11.4,15.1)"
"Perpetrator died by suicide","14.0 (9.1,18.8)","14.5 (11.7,17.3)","12.9 (10.9,14.9)","6.7(5.5,7.9)","2.5 (0.1,4.8)","2.7 (1.1,4.3)","1.8 (1.1,2.5)","0.4 (0.1,0.7)"
"History of intimate partner violence","31.6 (21.9,41.3)","33.2 (27.7,38.6)","28.6 (25.0,32.2)","13.4(11.0,15.8)","","","",""
"Injury setting","","","","","","","",""
"Major town/city","47.9(34.4, 61.4)","33.8(27.8, 39.8)","34.6(28.9,40.3)","29.2(24.7,33.8)","46.7(32.6, 60.7)","37.6(29.7, 45.5)","32.4(27.6, 37.2)","34.7(30.2, 39.3)"
"Rural//Small Town","52.1(38.6, 65.6)","65.7(59.9, 71.6)","65.4(59.7, 71.1)","70.8(66.2−75.3)","53.3(39.3, 67.4)","61.9(54.2, 69.6)","67.6(62.8, 72.4)","65.3(60.7, 69.8)"
"Unknown","","0.5(0.1,0.8)","","","","0.4(0, 0.9)","",""
